Puskesmas,Dimensi,z,p_value,Kesimpulan
Tembok Dukuh,Reliability,0.673,0.501,Gagal tolak H0 (setara)
Tenggilis,Reliability,0.476,0.6338,Gagal tolak H0 (setara)
Wonokusumo,Reliability,-0.229,0.8191,Gagal tolak H0 (setara)
Bandarharjo,Reliability,0.037,0.9702,Gagal tolak H0 (setara)
Bangetayu,Reliability,-0.369,0.7118,Gagal tolak H0 (setara)
Bugangan,Reliability,1.234,0.2171,Gagal tolak H0 (setara)
Bulu Lor,Reliability,-1.715,0.0863,Gagal tolak H0 (setara)
Candilama,Reliability,-0.25,0.8027,Gagal tolak H0 (setara)
Gayamsari,Reliability,0.428,0.6685,Gagal tolak H0 (setara)
Genuk,Reliability,-1.003,0.3158,Gagal tolak H0 (setara)
Gunungpati,Reliability,-1.748,0.0805,Gagal tolak H0 (setara)
Halmahera,Reliability,-1.476,0.1401,Gagal tolak H0 (setara)
Kagok,Reliability,0.277,0.7814,Gagal tolak H0 (setara)
Karangayu,Reliability,3.257,0.0011,Tolak H0 — lebih sering dikeluhkan
Karangdoro,Reliability,-0.65,0.5156,Gagal tolak H0 (setara)
Karangmalang,Reliability,1.094,0.2741,Gagal tolak H0 (setara)
Kedungmundu,Reliability,-2.177,0.0295,Tolak H0 — lebih jarang dikeluhkan
Krobokan,Reliability,-0.194,0.8462,Gagal tolak H0 (setara)
Lamper Tengah,Reliability,1.938,0.0526,Gagal tolak H0 (setara)
Lebdosari,Reliability,-2.414,0.0158,Tolak H0 — lebih jarang dikeluhkan
Mangkang,Reliability,-0.434,0.6643,Gagal tolak H0 (setara)
Manyaran,Reliability,-1.851,0.0641,Gagal tolak H0 (setara)
Mijen,Reliability,-0.764,0.4448,Gagal tolak H0 (setara)
Miroto,Reliability,-1.724,0.0847,Gagal tolak H0 (setara)
