id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SBY_031,Reliability,0.071,0.9432,setara,8221
PKM_SBY_032,Reliability,-2.359,0.0183,lebih jarang dikeluhkan,8133
PKM_SBY_033,Reliability,0.721,0.4707,setara,8213
PKM_SBY_034,Reliability,-0.525,0.5996,setara,8125
PKM_SBY_035,Reliability,-0.413,0.6793,setara,8199
PKM_SBY_036,Reliability,0.543,0.5872,setara,8218
PKM_SBY_037,Reliability,0.738,0.4607,setara,8158
PKM_SBY_038,Reliability,0.958,0.3382,setara,8194
PKM_SBY_039,Reliability,-0.742,0.4582,setara,8175
PKM_SBY_040,Reliability,1.719,0.0857,setara,8224
PKM_SBY_041,Reliability,-0.714,0.4755,setara,8173
PKM_SBY_042,Reliability,0.388,0.6981,setara,8234
PKM_SBY_043,Reliability,0.34,0.7341,setara,8197
PKM_SBY_044,Reliability,2.475,0.0133,lebih sering dikeluhkan,8154
PKM_SBY_045,Reliability,1.229,0.2189,setara,8056
PKM_SBY_046,Reliability,0.141,0.8875,setara,8105
PKM_SBY_047,Reliability,1.534,0.1251,setara,8150
PKM_SBY_048,Reliability,0.253,0.8005,setara,8231
PKM_SBY_049,Reliability,-0.355,0.7222,setara,8195
PKM_SBY_050,Reliability,-0.924,0.3557,setara,8180
PKM_SBY_051,Reliability,2.469,0.0136,lebih sering dikeluhkan,8189
PKM_SBY_052,Reliability,1.559,0.1189,setara,8185
PKM_SBY_053,Reliability,0.302,0.7623,setara,8140
PKM_SBY_054,Reliability,-1.02,0.3078,setara,8205
PKM_SBY_055,Reliability,-1.352,0.1764,setara,8149
PKM_SBY_056,Reliability,1.26,0.2078,setara,8231
PKM_SBY_057,Reliability,-0.359,0.7198,setara,8152
PKM_SBY_058,Reliability,-1.303,0.1927,setara,8183
PKM_SBY_059,Reliability,1.033,0.3016,setara,8157
PKM_SBY_060,Reliability,0.321,0.7484,setara,8199
PKM_SBY_061,Reliability,0.673,0.501,setara,8153
PKM_SBY_062,Reliability,0.476,0.6338,setara,8181
PKM_SBY_063,Reliability,-0.229,0.8191,setara,8167
PKM_SMG_001,Reliability,0.037,0.9702,setara,8234
PKM_SMG_002,Reliability,-0.369,0.7118,setara,8179
PKM_SMG_003,Reliability,1.234,0.2171,setara,8256
PKM_SMG_004,Reliability,-1.715,0.0863,setara,8234
PKM_SMG_005,Reliability,-0.25,0.8027,setara,8196
PKM_SMG_006,Reliability,0.428,0.6685,setara,8215
PKM_SMG_007,Reliability,-1.003,0.3158,setara,8239
PKM_SMG_008,Reliability,-1.748,0.0805,setara,8213
PKM_SMG_009,Reliability,-1.476,0.1401,setara,8223
PKM_SMG_010,Reliability,0.277,0.7814,setara,8216
PKM_SMG_011,Reliability,3.257,0.0011,lebih sering dikeluhkan,8199
PKM_SMG_012,Reliability,-0.65,0.5156,setara,8220
PKM_SMG_013,Reliability,1.094,0.2741,setara,8242
PKM_SMG_014,Reliability,-2.177,0.0295,lebih jarang dikeluhkan,8178
PKM_SMG_015,Reliability,-0.194,0.8462,setara,8228
PKM_SMG_016,Reliability,1.938,0.0526,setara,8244
PKM_SMG_017,Reliability,-2.414,0.0158,lebih jarang dikeluhkan,8220
PKM_SMG_018,Reliability,-0.434,0.6643,setara,8259
PKM_SMG_019,Reliability,-1.851,0.0641,setara,8225
PKM_SMG_020,Reliability,-0.764,0.4448,setara,8191
PKM_SMG_021,Reliability,-1.724,0.0847,setara,8242
PKM_SMG_022,Reliability,-0.633,0.5268,setara,8190
PKM_SMG_023,Reliability,-2.544,0.011,lebih jarang dikeluhkan,8245
PKM_SMG_024,Reliability,-1.365,0.1724,setara,8234
PKM_SMG_025,Reliability,0.46,0.6459,setara,8245
PKM_SMG_026,Reliability,0.931,0.3517,setara,8229
PKM_SMG_027,Reliability,0.138,0.8899,setara,8265
PKM_SMG_028,Reliability,-0.516,0.6055,setara,8228
PKM_SMG_029,Reliability,0.668,0.5038,setara,8246
PKM_SMG_030,Reliability,-2.783,0.0054,lebih jarang dikeluhkan,8240
PKM_SMG_031,Reliability,-0.764,0.445,setara,8205
PKM_SMG_032,Reliability,-1.276,0.2019,setara,8205
PKM_SMG_033,Reliability,-0.702,0.4824,setara,8229
PKM_SMG_034,Reliability,-0.059,0.9533,setara,8249
PKM_SMG_035,Reliability,-0.686,0.4926,setara,8171
PKM_SMG_036,Reliability,-0.925,0.355,setara,8213
PKM_SMG_037,Reliability,-0.822,0.4111,setara,8255
PKM_BTL_001,Responsiveness,0.049,0.9611,setara,8240
PKM_BTL_002,Responsiveness,0.051,0.9594,setara,8198
PKM_BTL_003,Responsiveness,0.685,0.4936,setara,8178
PKM_BTL_004,Responsiveness,-1.09,0.2757,setara,8199
PKM_BTL_005,Responsiveness,0.827,0.4082,setara,8217
PKM_BTL_006,Responsiveness,2.385,0.0171,lebih sering dikeluhkan,8234
PKM_BTL_007,Responsiveness,-0.774,0.4388,setara,8248
PKM_BTL_008,Responsiveness,-0.425,0.6707,setara,8258
PKM_BTL_009,Responsiveness,-0.695,0.4871,setara,8243
PKM_BTL_010,Responsiveness,1.822,0.0684,setara,8239
PKM_BTL_011,Responsiveness,2.023,0.0431,lebih sering dikeluhkan,8236
PKM_BTL_012,Responsiveness,1.276,0.202,setara,8255
PKM_BTL_013,Responsiveness,2.094,0.0362,lebih sering dikeluhkan,8119
PKM_BTL_014,Responsiveness,1.378,0.1681,setara,8183
PKM_BTL_015,Responsiveness,2.214,0.0269,lebih sering dikeluhkan,8241
PKM_BTL_016,Responsiveness,2.023,0.0431,lebih sering dikeluhkan,8236
PKM_BTL_017,Responsiveness,-0.46,0.6457,setara,8234
PKM_BTL_018,Responsiveness,0.361,0.7184,setara,8249
PKM_BTL_019,Responsiveness,-0.359,0.7193,setara,8227
PKM_BTL_020,Responsiveness,1.213,0.225,setara,8220
PKM_BTL_021,Responsiveness,-0.258,0.7961,setara,8238
PKM_BTL_022,Responsiveness,-0.538,0.5903,setara,8244
PKM_BTL_023,Responsiveness,0.664,0.5064,setara,8239
PKM_BTL_024,Responsiveness,1.012,0.3115,setara,8241
PKM_BTL_025,Responsiveness,2.531,0.0114,lebih sering dikeluhkan,8151
PKM_BTL_026,Responsiveness,2.005,0.045,lebih sering dikeluhkan,8156
PKM_BTL_027,Responsiveness,0.793,0.4275,setara,8251
PKM_SBY_001,Responsiveness,-3.195,0.0014,lebih jarang dikeluhkan,8239
PKM_SBY_002,Responsiveness,0.664,0.5064,setara,8239
PKM_SBY_003,Responsiveness,-0.584,0.5594,setara,8181
PKM_SBY_004,Responsiveness,0.356,0.7215,setara,8201
PKM_SBY_005,Responsiveness,3.948,0.0001,lebih sering dikeluhkan,8121
PKM_SBY_006,Responsiveness,0.825,0.4093,setara,8144
PKM_SBY_007,Responsiveness,0.453,0.6503,setara,8110
PKM_SBY_008,Responsiveness,0.856,0.3918,setara,8123
PKM_SBY_009,Responsiveness,-1.232,0.2178,setara,8192
PKM_SBY_010,Responsiveness,-2.414,0.0158,lebih jarang dikeluhkan,8198
PKM_SBY_011,Responsiveness,-1.039,0.2988,setara,8157
PKM_SBY_012,Responsiveness,-1.479,0.1392,setara,8203
PKM_SBY_013,Responsiveness,0.166,0.8686,setara,8118
PKM_SBY_014,Responsiveness,2.285,0.0223,lebih sering dikeluhkan,8196
PKM_SBY_015,Responsiveness,-3.053,0.0023,lebih jarang dikeluhkan,8209
